state_fips_code,1.0,2.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,66.0,72.0,78.0
res_state,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI
case_month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,135,0,65,17,368,84,17,0,0,267,664,0,0,29,25,106,0,110,50,20,23,87,133,0,0,104,0,43,121,14,353,19,534,81,0,162,11,0,0,0,118,31,177,84,45,0,12,27,0,30,0,0,15,0
2020-02,72,0,57,18,485,95,37,0,36,327,170,20,0,69,58,29,0,43,14,23,22,263,145,16,17,42,0,14,59,0,127,14,1052,102,0,204,32,37,67,0,53,0,55,18,29,0,44,316,0,55,0,0,0,0
2020-03,2690,238,2691,1156,19396,6814,3822,300,1233,16363,6811,227,1335,17747,5910,2395,1052,1699,14166,677,3165,14475,13639,1248,1693,3329,318,462,2462,546,39246,631,129787,3428,222,5809,1652,1412,14319,0,2671,336,4302,3170,1773,552,4214,8290,469,2927,255,112,473,44
2020-04,6208,136,7390,2748,46572,12300,9364,4242,3298,21127,16793,394,843,62715,15636,15314,4564,3999,16461,663,18003,56199,16575,8299,5722,6155,129,5457,3723,1791,64917,3374,223047,9944,996,16340,2635,1625,40857,0,4020,2239,9249,21180,3794,320,17900,7981,776,6557,312,37,355,16
2020-05,11425,145,16188,5354,71217,9298,3658,4380,2171,22279,17110,118,966,50655,14183,25182,4957,4356,10644,1120,25068,31007,9544,18224,8207,5820,90,6728,3726,2479,30036,4425,134469,21070,1530,13114,2791,1692,23186,0,6192,1698,12764,31687,6096,94,26846,7451,823,10704,299,18,131,0
2020-06,21949,614,71654,16461,174367,7107,29979,1928,576,82201,33005,289,5609,22694,11940,30180,6534,5737,29067,871,16158,8098,6785,11715,11967,12117,756,4081,14770,1136,42571,5086,68393,45288,1071,19567,11044,6112,16834,0,28514,1390,28046,123388,14331,221,17490,14136,1193,9986,704,77,305,32
2020-07,49698,2289,86688,21313,282930,14673,4025,3132,4360,136624,78408,992,15562,42879,22627,34656,13418,14500,57525,583,24670,9181,14006,20193,16212,31571,3174,6351,32024,892,11804,8734,58941,56534,3248,36052,22872,9824,26039,0,56424,1648,59302,296354,17139,185,30267,24074,3734,22207,1261,68,1451,299
2020-08,37541,2105,22756,18647,151847,9787,3515,2395,711,150289,63249,4199,9811,60294,27090,34286,16120,15727,28046,655,16672,10415,14487,20891,4193,37489,3389,7083,16897,675,11486,4464,44135,46014,5917,27938,21692,7502,21395,0,30942,4325,45719,276509,11782,192,29881,16429,2314,21028,1088,793,2167,625
2020-09,28011,3050,16778,21807,101279,14350,4589,2917,632,112374,38729,7984,11258,62723,26699,36132,17914,16266,19198,863,17427,13120,18863,26289,2580,48357,7346,10454,11496,1240,17163,4804,47870,42686,10966,29230,30681,7516,26582,0,27085,6329,42064,144419,25005,119,26732,14040,627,44177,2580,902,3630,121
2020-10,37955,9227,33343,28966,124858,43357,16470,4266,793,130834,43006,1925,24745,201027,66539,45161,30993,31505,21504,1681,24426,28435,43914,62163,454,70754,19929,23121,23302,2951,43913,21036,74536,65811,26110,69141,39150,13267,54472,2962,31376,9437,70004,163154,45544,550,34393,24123,0,97592,8701,1423,3728,62
2020-11,59133,18084,104507,53014,417622,131410,41377,10844,1861,88663,74109,4130,43818,306456,173216,75386,79903,63137,54972,7753,57545,78359,100368,183249,582,139727,30730,37402,60723,12073,132265,54779,171604,105238,33346,227428,84527,36431,185127,14767,46663,13256,136916,320279,87307,2423,64425,71118,13,146973,20571,1591,6252,161
2020-12,104962,11199,216431,72736,1223516,96371,61328,21367,2721,147641,162800,1274,32501,199742,167457,33661,65956,66140,82428,12271,71423,151055,94539,78915,661,113974,17333,24848,72627,23931,160667,42520,305103,198567,9546,250543,101272,36197,276971,20612,98238,6699,204330,539406,80148,3002,118996,78206,11,87953,9661,333,5314,361
2021-01,97296,6202,198245,64906,877422,58337,37785,20115,17932,449550,199468,4159,18632,127360,101871,23002,46366,86051,79067,13084,73028,137614,83902,38383,451,76783,11257,17383,47424,18776,165272,27802,341914,199651,4693,214627,83548,25209,180258,12799,134190,3797,119582,700565,60598,3982,144894,57270,28,56965,10809,172,2461,288
2021-02,32774,3417,44799,19110,182456,31423,1158,8426,3534,272793,83636,600,7872,50185,32057,11339,14332,33933,23942,4759,41623,54126,35713,22114,166,23748,5413,11927,12666,9064,90824,10034,200649,79242,2520,65510,26124,10773,81129,4711,63868,2466,41174,277546,22542,2842,62829,23869,19,23143,2370,86,1943,200
2021-03,16686,4533,22922,6563,83484,34116,8921,8050,3549,207918,41763,737,9281,70138,26540,10164,7078,18465,14275,6923,46573,58052,89338,41085,100,17054,4465,25186,8236,9631,128214,6649,223223,50766,3633,55282,9704,10181,102448,11775,33099,3051,35447,148485,14130,4364,43794,26469,0,22936,1963,46,1398,199
2021-04,13031,4650,21915,5476,66112,48789,402,9261,4787,169117,35140,843,6576,81153,33313,8651,6817,16398,13286,10828,40660,49616,132443,54864,157,17953,3907,16578,9316,10108,86448,6844,144856,51909,4239,53965,7163,20838,121209,26159,25809,9907,30909,122886,11082,2993,37166,41433,0,24693,1869,144,2851,205
2021-05,15576,1787,17396,5684,38346,28690,103649,4015,975,83133,29848,627,4487,31907,21245,4158,4094,10417,12792,5222,17631,14856,54244,19729,88,12938,2967,3377,5625,3736,21030,4959,42428,26875,2131,26718,4637,14589,43767,12815,12675,2353,14981,73706,8384,955,14606,27573,0,13267,2129,1859,2119,401
2021-06,5707,919,13916,9743,35811,13234,5993,853,565,57851,7013,426,2611,9554,7434,1836,4009,6326,10875,1090,7245,3136,30451,4002,27,21316,1762,2461,8555,924,8205,2587,12576,11985,633,7663,5679,6404,8388,20326,5291,1159,5586,65871,9896,153,6033,13155,0,5223,1987,169,1026,327
2021-07,37969,4898,38754,41641,203875,19179,11631,1720,1122,288860,38140,5641,7227,46695,20191,7174,18247,26849,77869,1786,10993,13071,34272,11117,212,66615,3363,4398,26733,1626,24811,6384,47251,51493,1222,20849,30140,16594,17435,18225,28455,881,35523,283567,19516,666,20278,29273,12,12748,3323,148,2090,863
2021-08,121088,15457,90182,68425,414900,42639,16537,8538,4911,621532,188521,9388,25750,116070,97952,26390,40543,112576,144270,7968,30564,42366,46313,41811,874,78889,12834,20835,33624,7523,62488,22997,131204,182990,7155,106859,72751,61657,79368,98,105223,57381,188008,495624,34201,3514,75745,96405,341,42025,11871,1988,5128,1251
2021-09,89538,24365,76514,37396,252004,55757,19760,13309,5725,197626,150331,3515,42353,93077,100673,42294,36454,109225,45244,13983,45471,51018,68143,69051,654,58405,25058,15461,28024,13021,63043,20011,141506,167913,15188,192090,56563,49596,139950,206,133492,10864,144173,414110,43149,4986,90905,92947,79,67796,14750,3980,2417,739
2021-10,31452,22421,74707,15702,179244,74788,159,10484,2941,51462,49106,3003,25995,71951,55749,29330,25440,42679,16330,13427,33363,40909,93698,78326,136,32252,25601,14787,19258,15974,46191,23921,121861,70199,15783,126254,26803,35151,131303,998,36924,7319,45072,162477,43840,6224,56023,65110,14,68112,12577,2880,1153,392
2021-11,15277,11228,109928,17480,165000,86636,9919,9213,2580,35252,24622,1275,12994,154884,88249,6558,35920,46241,12137,23006,38143,77327,121998,123430,134,49109,12740,19607,18655,29150,68894,37002,185316,59168,14174,163736,24088,24404,176762,3847,25002,9144,37620,99865,45407,9949,46464,46193,0,82272,7379,831,663,270
2021-12,63171,8234,133183,46411,779594,107756,157,29746,6260,327382,155364,5653,14742,675755,171693,24,64307,93013,114608,28476,41991,250666,143971,134417,1280,124947,7880,16261,51761,41038,416229,38127,1009244,219125,11677,369033,15947,46591,366031,11807,74901,17008,140765,311903,51977,9563,181517,115742,30,103397,5269,713,13194,2402
2022-01,320389,60954,515434,219507,2809944,330346,782,63788,55744,544166,467909,17038,101790,458636,355734,97,204309,319125,300300,59101,55940,441834,228627,304346,2898,323165,41079,33577,154509,77413,483708,116742,1074055,748896,51486,514964,33013,215777,557606,27911,409933,14452,457400,1591067,241117,32038,405528,475991,140,230939,27737,4975,18047,4717
2022-02,53080,17702,74076,25743,353617,54172,27930,7992,4871,295720,81243,19036,16431,45032,40786,23,23419,88003,37222,13929,16669,50131,223791,46268,292,41689,6474,13259,15605,11240,38307,27071,92381,116373,11127,62840,5386,39613,73306,7930,74309,28562,78515,318710,29713,7073,82367,75856,23,78086,6779,7905,1388,531
2022-03,13512,6763,17004,4062,86073,29102,33982,2854,1870,108179,26697,29358,1837,32147,7537,20,3224,16969,4767,6042,8978,28536,132806,12965,42,7673,680,17957,4181,3716,26950,5470,78906,16340,1530,15007,868,8191,21022,12795,12878,9489,7551,127845,4330,3766,24840,17688,32,29447,915,2111,731,243
2022-04,6002,5810,13894,2856,142154,36944,61,4587,2459,57835,16795,9454,1756,105846,11647,16,6300,10551,5212,11117,55264,65539,100344,28016,61,11904,440,8007,6842,9005,66501,4731,187485,37215,1395,27746,951,22100,42188,17456,8626,683,9743,73575,5688,13113,35003,40145,0,41215,676,686,5170,710
2022-05,15567,7745,43768,8058,415894,66924,150312,13761,0,156746,42926,10409,5966,163853,34488,11,13052,33368,25677,16625,381326,112350,87310,57593,258,32436,1418,5991,24112,16112,136673,12775,275816,109843,3856,78284,2452,46209,114438,30334,28924,1837,35494,116651,21199,7892,48746,84181,53,64048,2199,780,12517,3469
2022-06,43700,9731,73161,23264,534271,85203,5152,8517,11,191232,64974,14103,11921,120606,40086,17,20326,46441,51932,6404,84280,51640,55868,42935,511,51309,2135,10333,32092,7511,89216,24170,167855,107863,5426,73309,4077,44839,73398,20496,48431,2311,62041,251363,30978,3189,30443,81274,33,49632,5188,2271,10313,1020
2022-07,70693,10134,79286,38183,593265,57902,92,9398,14,179952,105036,8459,15428,139300,59167,35,31263,69094,78020,6151,56440,47974,62920,41613,558,60878,2567,11061,23592,6763,102668,23768,206107,135413,7557,111590,3446,39343,90148,353,59224,5485,84800,367645,29002,1892,75577,73414,25,54629,6070,2945,7973,838
2022-08,64099,7418,46757,29183,344911,33855,57723,7867,0,113389,95311,4803,9542,103301,64518,21,26042,77340,54946,6801,67114,41770,74322,42050,499,46018,2315,7887,10157,6501,77466,15197,163531,113896,7272,113335,3199,22516,89720,7198,70166,10164,94152,295338,15530,2057,79877,43765,26,51339,3889,2155,8510,881
2022-09,27775,2817,19461,17309,145993,20790,12264,5710,0,41225,27679,2852,5990,54936,23593,24,13538,34147,23078,7166,29411,41034,98732,26600,183,32818,1422,71957,3589,6387,64360,7117,137021,74677,4471,69813,1489,17428,70591,7887,29411,4147,33352,143317,8669,1953,46220,30649,12,34020,2032,452,4191,440
2022-10,13264,1879,21035,7120,101431,20018,6692,4334,0,22750,15980,36908,4696,61700,19330,0,8996,20210,9407,7458,9278,34889,69722,23194,120,20641,1053,22028,5040,6950,57353,36473,136169,38230,3671,48127,821,13372,55170,7219,13139,13967,21959,53841,8325,2793,31643,19853,0,31753,1839,234,3628,160
2022-11,14345,1773,50410,8755,207097,33239,329,3285,0,28585,18349,94499,5994,75964,27478,0,13243,22945,13399,3880,11341,26912,296571,23434,169,24036,1260,5723,8739,4257,54792,18807,149189,33996,3977,51896,1075,16058,48515,169,16156,4453,27048,71425,16025,1387,30630,21583,95,28847,2519,415,4714,189
2022-12,33227,1593,44578,16672,278608,24268,122,5154,0,50122,45731,2619,5677,81569,37549,14,16258,30341,26750,5045,18415,46965,53490,24078,396,33584,1455,4568,7864,6359,84118,12591,201860,81292,3631,69519,1954,14188,62666,6437,35368,3365,44998,147633,13105,1621,59827,25184,13,34699,1765,280,5957,260
2023-01,33901,2872,16245,11295,124282,11934,17440,4346,0,107149,39127,1382,3322,47260,19863,13,9227,26847,31414,5009,15327,35955,33901,18238,245,19972,884,1932,4078,5401,68158,5596,149517,69864,2797,40696,6710,10181,52791,9690,37661,1959,39986,125727,5515,1836,49758,22451,0,28654,942,267,5386,700
2023-02,22837,2434,15736,6272,98839,5707,76,3385,0,55012,28271,1316,4332,41846,18082,16,7791,19565,20618,5037,5076,18710,46082,17679,149,16247,885,1943,3155,3457,31736,4540,73903,38102,3189,36291,12078,9628,39788,2858,15503,3702,28447,75607,6353,1552,24565,18912,13,17503,1157,54,3236,203
2023-03,6735,1402,12307,2928,53851,3421,16696,1105,0,28632,8607,1059,2850,24886,10659,0,4681,5404,8797,2288,56840,8583,21949,9000,75,10759,724,2117,2220,1810,11905,4030,33245,14126,1623,24102,9180,5275,18648,7694,6735,2169,11681,35457,4040,809,9520,12440,0,13568,796,29,1710,101
